concept,items,degree,strength,betweenness,eigenvector,community
Artificial intelligence,36,38,29.0,0.5568,0.5094,2
Large language models,21,21,18.0,0.2402,0.354,7
Generative artificial intelligence,17,23,14.0,0.1418,0.2215,4
Philosophy,12,8,11.0,0.2008,0.3693,7
Ethics,8,9,8.0,0.0265,0.2494,7
Machine learning,18,7,8.0,0.0627,0.0823,3
Law,8,17,8.0,0.054,0.0756,5
Handwritten text recognition,11,14,8.0,0.0636,0.1007,3
Benchmarking,8,12,7.0,0.015,0.0659,1
Risk management,7,15,7.0,0.0023,0.1663,5
Regulation,6,14,6.0,0.0498,0.0881,5
History,7,12,6.0,0.005,0.0915,1
Education,7,9,6.0,0.0006,0.1046,4
AI literacy,7,10,6.0,0.0434,0.1281,4
Natural language processing,10,8,6.0,0.065,0.1562,1
Libraries,6,10,6.0,0.024,0.1811,2
Digital humanities,7,6,6.0,0.0719,0.2306,2
ChatGPT,7,9,6.0,0.0257,0.1668,2
Cultural heritage,4,10,4.0,0.0,0.0795,4
LLM evaluation,4,6,4.0,0.0046,0.0805,1
Archives,4,9,4.0,0.0,0.1282,2
ISO standards,4,6,4.0,0.0359,0.0809,5
Digital scholarly editions,3,4,3.0,0.023,0.0447,3
GLAM institutions,3,6,3.0,0.0,0.0594,4
History of digital humanities,3,5,3.0,0.0,0.079,7
Bias,3,3,3.0,0.0,0.0849,7
AI systems,3,8,3.0,0.0,0.0547,5
Cataloguing,3,5,3.0,0.0,0.0956,2
Narratology,6,3,3.0,0.0265,0.0344,6
Responsible AI,3,10,3.0,0.0116,0.0409,5
AI in libraries,2,1,2.0,0.0,0.0,0
data literacy,2,3,2.0,0.0,0.0377,4
Inclusion,2,3,2.0,0.0,0.0618,7
AI models,2,9,2.0,0.0,0.0316,5
AI regulation,2,8,2.0,0.0,0.0358,5
AI in archives,4,1,2.0,0.0,0.0,0
Copyright,2,4,2.0,0.0,0.0217,5
Digitisation,2,7,2.0,0.0,0.0392,3
Digital libraries,2,6,2.0,0.0,0.0447,3
Technological humanism,2,2,2.0,0.0,0.0669,7
Ontologies,2,2,2.0,0.0,0.0482,7
Graphematics,2,2,2.0,0.0,0.0208,3
Higher education,2,4,2.0,0.0,0.0521,4
Epigraphy,2,1,2.0,0.0,0.0197,3
EU AI Act,2,5,2.0,0.0,0.0328,5
Evaluation,2,3,2.0,0.001,0.0103,3
Disability,2,3,2.0,0.0,0.0463,7
Dewey Decimal Classification,2,3,2.0,0.0,0.0728,2
Datasets,2,3,2.0,0.0,0.0166,3
Automatic transcription,2,6,2.0,0.0,0.0517,3
Memorization,2,2,2.0,0.0,0.0482,7
Multidisciplinary approach,2,4,2.0,0.0,0.0602,7
Literary studies,2,1,2.0,0.0,0.0083,6
Medieval manuscripts,2,6,2.0,0.0,0.0279,3
Library of Congress Subject Headings,2,3,2.0,0.0,0.0301,2
digital lexicography,2,3,2.0,0.0,0.0279,1
Text,2,3,2.0,0.0027,0.0248,1
Metadata,2,4,2.0,0.0,0.0459,3
Museums,2,6,2.0,0.0,0.0623,2
Research integrity,2,6,2.0,0.0,0.0495,5
Peer review,2,2,2.0,0.0004,0.0,8
Public administration,2,3,2.0,0.0,0.0708,5
AI authorship,2,2,1.0,0.0,0.0399,1
AI legal scholarship,2,4,1.0,0.0,0.0102,5
Gender bias,2,2,1.0,0.0,0.0326,6
Linguistics,2,2,1.0,0.0,0.0133,1
Open letter,2,2,1.0,0.0,0.0336,4
Prompt injection,2,1,1.0,0.0,0.0,8
Philology,2,2,1.0,0.0,0.0269,7
Social sciences,2,2,1.0,0.0,0.0261,3
Scholarly publishing,2,1,1.0,0.0,0.0,8
